chr	length	genetic_length	physical_length_fraction
chr1	158534110	129.375635787884	0.0636840265327152
chr2	136231102	115.7516	0.0547247851856552
chr3	121005158	111.9185	0.0486084394876749
chr4	120000601	110.3494	0.048204903399185
chr5	120089316	110.5453	0.048240540704077
chr6	117806340	101.6177	0.0473234566509508
chr7	110682743	104.6956	0.0444618684390741
chr8	113319770	101.7587	0.0455211767320054
chr9	105454467	93.24278	0.0423616411283436
chr10	103308737	97.2365490623738	0.0414996895505283
chr11	106982474	101.575089120427	0.0429754499694199
chr12	87216183	85.6978007738876	0.035035221834936
chr13	83472345	89.07238	0.0335313014576356
chr14	82403003	81.9303	0.0331017408772624
chr15	85007780	80.76096	0.0341480941672882
chr16	81013979	83.04524	0.032543762273979
chr17	73167244	75.77608	0.0293916855383466
chr18	65820629	76.92823	0.0264405097656019
chr19	63449741	80.40394	0.0254881109771134
chr20	71974595	65.81939	0.0289125918558563
chr21	69862954	72.82196	0.0280643340173914
chr22	60773035	70.10007	0.0244128634109948
chr23	52498615	59.78291	0.0210889832515589
chr24	62317253	62.69929	0.0250331843001984
chr25	42350435	53.92061	0.017012403363617
chr26	51992305	57.2635	0.0208855957315244
chr27	45612108	52.60918	0.0183226354005777
chr28	45940150	54.63635	0.0184544116816054
chr29	51098607	55.12694	0.0205265923148828
